,balance,equity,balance_btc,equity_btc
10920,494.5996250460005,492.8101250460005,0.0,-1.7895000000000076
10980,494.5996250460005,492.7698750460005,0.0,-1.8297500000000073
11040,495.71654271600045,492.8790750460005,0.0,-1.7205500000000082
11100,495.71654271600045,493.4091427160005,0.0,-2.3074000000000012
11160,495.71654271600045,492.96204271600044,0.0,-2.7545000000000037
11220,495.71654271600045,493.37004271600046,0.0,-2.3465000000000007
11280,497.2726405300004,493.19664271600044,0.0,-2.519900000000001
11340,497.2726405300004,497.2408405300004,0.0,-0.031799999999971074
11400,497.26909059000036,496.4741405300004,0.0,-0.7984999999999788
11460,497.26909059000036,498.6420105900004,0.0,1.372920000000021
11520,497.2627943340004,496.23186059000034,0.0,-1.0372299999999928
11580,500.7273940180004,499.4071543340004,0.0,2.144359999999999
11640,500.7273940180004,500.45255401800034,0.0,-0.2748400000000104
11700,500.7273940180004,500.3154940180004,0.0,-0.4119000000000135
11760,500.7273940180004,500.29947401800035,0.0,-0.42792000000000774
11820,500.7273940180004,500.32261401800037,0.0,-0.4047800000000111
11880,500.7273940180004,499.9043140180004,0.0,-0.8230800000000101
11940,500.98714059600036,500.0484940180004,0.0,-0.6789000000000109
12000,500.97858514000035,499.99084059600034,0.0,-0.9963000000000101
12060,501.59816390600025,500.34271514000034,0.0,-0.635870000000008
12120,501.77476517600024,501.9572239060002,0.0,0.35905999999999355
12180,501.9486270660002,499.72441517600026,0.0,-2.050349999999993
12240,501.8510393940002,498.0266270660002,0.0,-3.92200000000001
12300,506.3854549817981,506.9277793940003,0.0,5.076740000000039
12360,506.3854549817981,501.00956192400025,0.0,-5.375893057797863
12420,506.3854549817981,504.44252192400023,0.0,-1.9429330577978596
12480,509.24933049774637,499.0546819240002,0.0,-7.33077305779788
12540,516.1950058680003,511.84408388600036,0.0,2.5947533882539635
12600,516.3708076620003,516.1730258680003,0.0,-0.021979999999997443
12660,516.5487317020003,516.2656176620003,0.0,-0.10518999999999934
12720,516.5487317020003,516.4730017020003,0.0,-0.07573000000000008
12780,516.5421753060003,516.4334817020003,0.0,-0.11525000000000034
12840,516.8097544460004,516.1163253060002,0.0,-0.42585000000000195
12900,516.8097544460004,515.9477544460003,0.0,-0.8620000000000008
