,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
1495,38913,HYPE,0.3712500000000029,-0.0074063700000000015,1029.0613220934774,0.0,1029.0613220934774,1.0,-1.35,27.431,0.0,27.156,close_grid_long
1496,38914,HYPE,-0.363442413179145,-0.0024652800000000002,1028.6954144002982,0.0,1028.6954144002982,1.0,0.45,27.392,-85.82,26.584350192935233,close_unstuck_short
1497,38915,HYPE,-0.007416498070647677,-5.4652000000000005e-05,1028.6879432502276,0.0,1028.6879432502276,1.0,0.01,27.326,-85.81,26.584350192935233,close_unstuck_short
1498,38918,HYPE,0.0,-0.0024624900000000003,1028.6854807602276,0.0,1028.6854807602276,1.0,-0.45,27.361,-86.26,26.588401809132534,entry_trailing_cropped_short
1499,38978,HYPE,0.0,-0.007316132,1028.6781646282277,0.0,1028.6781646282277,1.0,1.34,27.299,1.34,27.299,entry_initial_normal_long
1500,39029,HYPE,0.0,-0.013073400000000002,1028.6650912282278,0.0,1028.6650912282278,1.0,2.43,26.9,3.77,27.04181962864721,entry_grid_cropped_long
1501,39044,HYPE,2.8977207343963234,-0.166182912,1031.3966290506241,0.0,1031.3966290506241,1.0,31.36,26.496,-54.9,26.588401809132534,close_grid_short
1502,39061,HYPE,8.469992879126915,-0.16549387200000001,1039.701128057751,0.0,1039.701128057751,1.0,31.44,26.319,-23.46,26.588401809132534,close_grid_short
1503,39062,HYPE,0.0,-0.00021049600000000004,1039.700917561751,0.0,1039.700917561751,1.0,0.04,26.312,3.81,27.034157480314956,entry_grid_cropped_long
1504,39130,HYPE,10.472586442249272,-0.12265826400000002,1050.0508457400003,0.0,1050.0508457400003,1.0,23.46,26.142,0.0,26.588401809132534,close_grid_short
1505,39131,HYPE,0.0,-0.0002088,1050.0506369400002,0.0,1050.0506369400002,1.0,0.04,26.1,3.85,27.024451948051944,entry_grid_cropped_long
1506,39131,HYPE,0.0,-0.0051156000000000005,1050.0455213400003,0.0,1050.0455213400003,1.0,-0.98,26.1,-0.98,26.1,entry_initial_normal_short
1507,39230,HYPE,0.0,-0.0179359,1050.0275854400002,0.0,1050.0275854400002,1.0,-3.35,26.77,-4.33,26.618360277136254,entry_grid_inflated_short
1508,39250,HYPE,1.0300600000000233,-0.021014840000000003,1051.0366306,0.0,1051.0366306,1.0,-3.85,27.292,0.0,27.024451948051944,close_grid_long
1509,39251,HYPE,0.0,-0.007443484000000001,1051.029187116,0.0,1051.029187116,1.0,1.37,27.166,1.37,27.166,entry_initial_normal_long
1510,39317,HYPE,0.0,-0.05680180800000001,1050.972385308,0.0,1050.972385308,1.0,-10.36,27.414,-14.69,27.179478556841392,entry_trailing_normal_short
1511,39348,HYPE,0.0,-0.013385,1050.959000308,0.0,1050.959000308,1.0,2.5,26.77,3.87,26.91018604651163,entry_grid_cropped_long
1512,39351,HYPE,7.425480000000058,-0.07836821199999999,1058.306112096,0.0,1058.306112096,1.0,14.69,26.674,0.0,27.179478556841392,close_grid_short
1513,39352,HYPE,0.0,-0.005177666,1058.30093443,0.0,1058.30093443,1.0,-0.97,26.689,-0.97,26.689,entry_initial_normal_short
1514,39379,HYPE,1.032569999999992,-0.021034998000000003,1059.3124694320002,0.0,1059.3124694320002,1.0,-3.87,27.177,0.0,26.91018604651163,close_grid_long
1515,39380,HYPE,0.0,-0.007552426,1059.304917006,0.0,1059.304917006,1.0,1.39,27.167,1.39,27.167,entry_initial_normal_long
1516,39388,HYPE,0.0,-0.013438037999999998,1059.291478968,0.0,1059.291478968,1.0,2.51,26.769,3.9,26.910851282051283,entry_grid_cropped_long
1517,39450,HYPE,1.0379799999999952,-0.021198059999999998,1060.3082609080002,0.0,1060.3082609080002,1.0,-3.9,27.177,0.0,26.910851282051283,close_grid_long
1518,39451,HYPE,0.0,-0.007548256,1060.3007126520001,0.0,1060.3007126520001,1.0,1.39,27.152,1.39,27.152,entry_initial_normal_long
1519,39523,HYPE,0.382249999999998,-0.007624705999999999,1060.6753379460001,0.0,1060.6753379460001,1.0,-1.39,27.427,0.0,27.152,close_grid_long
1520,39523,HYPE,0.0,-0.01806684,1060.657271106,0.0,1060.657271106,1.0,-3.3,27.374,-4.27,27.218391100702576,entry_grid_inflated_short
1521,39573,HYPE,0.0,-0.007511162000000001,1060.6497599440002,0.0,1060.6497599440002,1.0,1.37,27.413,1.37,27.413,entry_initial_normal_long
1522,39611,HYPE,0.37949000000000144,-0.007587060000000001,1061.021662884,0.0,1061.021662884,1.0,-1.37,27.69,0.0,27.413,close_grid_long
1523,39653,HYPE,0.0,-0.007539110000000002,1061.0141237740002,0.0,1061.0141237740002,1.0,1.37,27.515,1.37,27.515,entry_initial_normal_long
